contig_10	taxid 1449752
contig_11	taxid 731
contig_12	taxid 1680
contig_13	taxid 28903
contig_14	taxid 1400868
contig_15	taxid 511691
contig_16	taxid 869727
contig_17	taxid 837
contig_18	taxid 565651
contig_19	taxid 1380360
contig_21	taxid 1309807
contig_22	taxid 1091045
contig_24	taxid 1341165
contig_26	taxid 448385
contig_30	taxid 421628
contig_31	taxid 1428454
contig_34	taxid 2609252
contig_36	taxid 2058135
contig_39	taxid 441209
contig_4	taxid 1660
contig_40	taxid 726
contig_41	taxid 1355330
contig_45	taxid 28903
contig_46	taxid 91347
contig_48	taxid 1311760
contig_49	taxid 75985
contig_5	taxid 1660
contig_50	taxid 2483799
contig_53	taxid 604162
contig_54	taxid 1660
contig_55	taxid 288681
contig_56	taxid 992186
contig_57	taxid 1392476
contig_58	taxid 243230
contig_59	taxid 837
contig_6	taxid 155864
contig_60	taxid 1403335
contig_61	taxid 1403336
contig_62	taxid 1400867
contig_7	taxid 204527
contig_8	taxid 47715
contig_9	taxid 821
