taxid	read%	contig%	contig length
287	5.4372%	5.443%	2049831
557760	0.1378%	1.1392%	428440
1309	2.0147%	1.0127%	377722
1747	2.484%	1.3924%	503926
1660	2.738%	3.7975%	1757028
562	3.6678%	2.7848%	607815
1578	0.9944%	0.3797%	15872
324831	0.0%	0.1266%	109897
1596	0.9083%	2.5316%	1089028
907239	0.0775%	0.3797%	171316
821	5.519%	7.3418%	3663396
1351	3.0953%	2.1519%	662795
176280	0.0043%	0.5063%	238860
1520	6.733%	7.3418%	2754121
33959	0.1421%	0.2532%	43465
210	1.1365%	0.3797%	99317
1403336	0.0861%	0.7595%	462304
2810407	0.0043%	0.1266%	16417
936153	0.0301%	0.6329%	589240
1126681	0.0732%	0.6329%	366869
563041	0.0%	0.1266%	44505
564	0.043%	0.1266%	11790
1734925	0.0387%	0.2532%	81653
1093787	0.0172%	0.1266%	69366
347495	0.0215%	0.1266%	78343
1282	2.9661%	2.6582%	1229501
1198676	0.0861%	0.7595%	344545
1446746	0.0258%	0.2532%	120162
405955	0.0129%	0.2532%	225081
1392476	0.0474%	0.3797%	442297
1299	2.6432%	2.4051%	1005821
1403338	0.1507%	1.0127%	524973
1400868	0.2109%	2.9114%	1497484
1051004	0.0129%	0.2532%	78090
435590	0.0301%	0.2532%	126798
1274814	0.0%	0.1266%	109717
1329907	0.0129%	0.1266%	36210
2048776	0.0%	0.1266%	42791
1225197	0.0517%	0.3797%	194712
1396	2.4797%	1.3924%	477273
431947	0.0086%	0.2532%	128933
1680	2.2386%	2.9114%	1208628
83334	0.1507%	0.8861%	362971
869727	0.0215%	0.1266%	37346
1055527	0.0129%	0.2532%	61905
1276648	0.0215%	0.1266%	99364
1155084	0.0086%	0.1266%	93936
604162	0.0086%	0.1266%	92248
1386087	0.1808%	2.1519%	1098144
1280938	0.0301%	0.2532%	79737
1380360	0.0043%	0.1266%	71379
1096997	0.0172%	0.2532%	149885
941322	0.0474%	0.2532%	72491
470	3.5085%	2.4051%	977362
837	2.7078%	0.8861%	356489
1381115	0.0517%	0.2532%	92794
1287066	0.0258%	0.3797%	231107
1428454	0.2497%	2.7848%	1462439
992186	0.0732%	0.2532%	129161
869816	0.1162%	0.6329%	327279
553199	0.0086%	0.1266%	94476
1403335	0.0258%	0.6329%	280784
288681	0.0129%	0.7595%	389615
1279013	0.0215%	0.1266%	92678
267747	0.0172%	0.2532%	121768
1280	2.3763%	1.3924%	410686
128780	0.0%	0.1266%	17133
1078034	0.0129%	0.1266%	81146
1449752	0.0517%	0.6329%	352500
1217984	0.1722%	1.0127%	366431
2848144	0.0172%	0.1266%	29529
2763104	0.0215%	0.2532%	91542
374833	0.0603%	0.1266%	29070
487	1.8296%	0.7595%	105170
1426844	0.0258%	0.1266%	188532
405416	0.0258%	0.3797%	182970
216592	0.0215%	0.1266%	51266
1229492	0.0043%	0.1266%	40649
222523	0.1636%	0.5063%	171982
1095685	0.0258%	0.2532%	124677
945556	0.0301%	0.2532%	103790
526992	0.0301%	0.2532%	202771
1400867	0.0947%	0.3797%	293960
566546	0.0043%	0.1266%	32601
243230	0.1291%	1.0127%	630159
1309807	0.3918%	2.0253%	965432
109790	0.0043%	0.1266%	34415
1311	1.0289%	0.2532%	55204
1346615	0.0129%	0.2532%	125569
381754	0.1378%	0.7595%	297548
1415629	0.043%	0.2532%	99144
1155071	0.1076%	0.2532%	225878
1408434	0.043%	0.5063%	252015
526985	0.043%	0.2532%	204863
565651	0.0517%	0.5063%	309639
474186	0.0043%	0.3797%	243199
226900	0.0129%	0.6329%	368480
585143	0.0086%	0.1266%	52407
2810404	0.0043%	0.1266%	81115
1074919	0.0258%	0.6329%	194797
316435	0.0129%	0.1266%	66080
2778654	0.0%	0.1266%	61986
637380	0.0732%	0.6329%	514909
696406	0.0043%	0.1266%	108155
765963	0.0086%	0.1266%	32896
930406	0.0301%	0.2532%	79630
1063	0.8868%	0.3797%	91463
2874051	0.0387%	0.1266%	75766
1055530	0.0172%	0.2532%	81901
1055541	0.0%	0.1266%	82535
2848143	0.0344%	0.1266%	30600
176279	0.0086%	0.1266%	83168
935591	0.0129%	0.1266%	37032
1448140	0.0474%	0.1266%	19974
699186	0.0215%	0.1266%	63237
509173	0.0086%	0.2532%	161100
1114966	0.0086%	0.2532%	144843
889738	0.0129%	0.1266%	28038
1321939	0.0258%	0.1266%	45323
208963	0.043%	0.5063%	308282
526986	0.1205%	0.3797%	159449
696749	0.0086%	0.1266%	66713
1114969	0.0344%	0.3797%	123769
942513	0.0258%	0.1266%	43293
526991	0.0%	0.1266%	50919
1234380	0.056%	0.3797%	193948
1358422	0.0129%	0.1266%	16945
511691	0.0646%	0.3797%	253822
1408272	0.0%	0.1266%	34976
1009714	0.0474%	0.2532%	43568
362663	0.0301%	0.2532%	122165
1203670	0.0043%	0.1266%	54678
2848145	0.0344%	0.3797%	300029
2778655	0.0086%	0.1266%	80168
864803	0.0172%	0.2532%	53845
685038	0.0%	0.2532%	111299
585396	0.0%	0.1266%	21990
357544	0.0215%	0.2532%	72336
941280	0.0215%	0.1266%	21238
244320	0.0129%	0.1266%	39925
1096995	0.0129%	0.5063%	204389
526987	0.0129%	0.1266%	146643
1827	0.0043%	0.1266%	8452
948563	0.0172%	0.1266%	63886
526967	0.0129%	0.1266%	45381
526988	0.0258%	0.1266%	31538
1457392	0.0301%	0.1266%	64418
1003239	0.0344%	0.1266%	27827
1973488	0.0%	0.1266%	9342
208964	0.0129%	0.1266%	77720
1163743	0.043%	0.2532%	59090
405532	0.0086%	0.1266%	19602
909420	0.0%	0.1266%	57274
1340851	0.0172%	0.1266%	19501
2107999	0.1636%	0.1266%	41049
267818	0.0043%	0.1266%	27114
523796	0.0086%	0.1266%	22677
1055531	0.0086%	0.1266%	16983
526973	0.0215%	0.1266%	47965
526980	0.0%	0.1266%	37440
1096996	0.0043%	0.2532%	247553
269801	0.0043%	0.1266%	38201
2773707	0.0086%	0.1266%	18277
652611	0.0086%	0.1266%	50300
1883	0.0861%	0.1266%	23216
1114967	0.0387%	0.1266%	113361
1201292	0.0215%	0.1266%	97619
1031709	0.0086%	0.1266%	81263
367928	0.0387%	0.3797%	388279
502346	0.0086%	0.1266%	238273
907238	0.0258%	0.1266%	61213
526977	0.0%	0.1266%	192966
1055538	0.0387%	0.1266%	221032
557600	0.0086%	0.1266%	116407
290402	0.0258%	0.1266%	66407
480119	0.0%	0.1266%	112310

In total: 63.3% of reads and 99.75% of contigs.
