taxid	read%	contig%	contig length
1449752	0.2245%	2.381%	4969850
731	0.0552%	2.381%	57988
1680	19.0639%	2.381%	4538128
28903	0.2796%	4.7619%	74908
1400868	1.9355%	2.381%	13823640
511691	2.1894%	2.381%	4065992
869727	0.3974%	2.381%	3316644
837	15.3402%	4.7619%	111444
565651	0.4452%	2.381%	5832424
1380360	0.0221%	2.381%	4274970
1309807	2.388%	2.381%	3739618
1091045	3.0577%	2.381%	5154128
1341165	0.0294%	2.381%	42400
448385	0.0552%	2.381%	70946
421628	0.1803%	2.381%	28726
1428454	2.8995%	2.381%	12553172
2609252	0.0184%	2.381%	51986
2058135	0.0846%	2.381%	58110
441209	0.0294%	2.381%	24032
1660	15.8443%	7.1429%	4897962
726	0.011%	2.381%	86996
1355330	0.0846%	2.381%	39912
91347	0.2318%	2.381%	28484
1311760	0.0478%	2.381%	26786
75985	0.0147%	2.381%	19154
2483799	0.0074%	2.381%	18904
604162	0.8426%	2.381%	4495282
288681	0.758%	2.381%	10529998
992186	0.861%	2.381%	1931930
1392476	0.2907%	2.381%	5661182
243230	0.5335%	2.381%	5446898
155864	0.1729%	2.381%	10585288
1403335	0.1545%	2.381%	1293056
1403336	0.7359%	2.381%	3745506
1400867	0.5004%	2.381%	7474456
204527	0.2907%	2.381%	33952
47715	0.8905%	2.381%	34670
821	29.0319%	2.381%	10204678

Out of total number we used: 16.84% of reads and 100.0% of contigs.
